exp_tag,momentum,lr,weight_decay,best_val_error,best_val_acc,model_path,val_acc_last,val_error_last
exp1_wd0.0_m0.0_lr0.01,0.0,0.01,0.0,0.3425958156585693,0.6574041843414307,/content/drive/My Drive/Colab Notebooks/DATA425A2/models/exp1_wd0.0_m0.0_lr0.01.weights.h5,0.6575767993927002,0.3424232006072998
exp1_wd0.0_m0.8_lr0.01,0.8,0.01,0.0,0.3229202628135681,0.6770797371864319,/content/drive/My Drive/Colab Notebooks/DATA425A2/models/exp1_wd0.0_m0.8_lr0.01.weights.h5,0.6770797371864319,0.3229202628135681
exp1_wd0.0_m0.9_lr0.01,0.9,0.01,0.0,0.3465654253959656,0.6534345746040344,/content/drive/My Drive/Colab Notebooks/DATA425A2/models/exp1_wd0.0_m0.9_lr0.01.weights.h5,0.653607189655304,0.34639281034469604
exp1_wd0.0_m0.95_lr0.01,0.95,0.01,0.0,0.4035208821296692,0.5964791178703308,/content/drive/My Drive/Colab Notebooks/DATA425A2/models/exp1_wd0.0_m0.95_lr0.01.weights.h5,0.5964791178703308,0.4035208821296692
exp1_wd0.0_m0.99_lr0.01,0.99,0.01,0.0,0.9613393172621728,0.0386606827378273,/content/drive/My Drive/Colab Notebooks/DATA425A2/models/exp1_wd0.0_m0.99_lr0.01.weights.h5,0.03848809003829956,0.9615119099617004
exp1_wd0.0001_m0.0_lr0.01,0.0,0.01,0.0001,0.3458750247955322,0.6541249752044678,/content/drive/My Drive/Colab Notebooks/DATA425A2/models/exp1_wd0.0001_m0.0_lr0.01.weights.h5,0.6542975306510925,0.34570246934890747
exp1_wd0.0001_m0.8_lr0.01,0.8,0.01,0.0001,0.3142906427383423,0.6857093572616577,/content/drive/My Drive/Colab Notebooks/DATA425A2/models/exp1_wd0.0001_m0.8_lr0.01.weights.h5,0.6853641867637634,0.3146358132362366
exp1_wd0.0001_m0.9_lr0.01,0.9,0.01,0.0001,0.3462202548980713,0.6537797451019287,/content/drive/My Drive/Colab Notebooks/DATA425A2/models/exp1_wd0.0001_m0.9_lr0.01.weights.h5,0.6539523601531982,0.34604763984680176
exp1_wd0.0001_m0.95_lr0.01,0.95,0.01,0.0001,0.3950638771057129,0.6049361228942871,/content/drive/My Drive/Colab Notebooks/DATA425A2/models/exp1_wd0.0001_m0.95_lr0.01.weights.h5,0.6045909523963928,0.3954090476036072
exp1_wd0.0001_m0.99_lr0.01,0.99,0.01,0.0001,0.9580600634217262,0.0419399365782737,/content/drive/My Drive/Colab Notebooks/DATA425A2/models/exp1_wd0.0001_m0.99_lr0.01.weights.h5,0.04193993657827377,0.9580600634217262
